Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
SMM специалист,Удаленная работа,SMM специалист,13.05.2019 13:20,Не указано,высшее,Ж,45,39.0,город-миллионник,True,True,True,True,True,False,False,True,True,True,False,True,35000
Инженер связи,Ростелеком,Инженер связи,22.04.2019 17:02,Имеется собственный автомобиль,высшее,М,24,8.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
"Монтажник ЛВС, системный администратор",Газпром газораспределение Челябинск филиал в г. Коркино,Слесарь КИПиА,22.04.2019 09:26,Не указано,среднее специальное,М,23,10.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,25000
Системный администратор,"ООО ""Элекс""",Системный администратор,07.05.2019 11:31,Не указано,неоконченное высшее,М,27,20.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,25000
Программист,"Шлюмберже, нефтяная сервисная компания","Teamlead, Программист",16.04.2019 07:51,Имеется собственный автомобиль,высшее,М,24,20.0,другие,False,True,True,True,True,True,False,True,True,False,False,True,80000
Системный администратор,ООО «Эксперт»,Специалист сервисного центра,22.04.2019 08:44,Не указано,неоконченное высшее,М,27,23.0,другие,False,True,True,False,False,False,False,False,True,True,True,False,35000
Специалист технической поддержки,ТСК Сервис,Инженер,19.04.2019 18:56,Не указано,среднее специальное,М,29,18.0,другие,False,True,True,True,False,True,False,True,True,True,False,False,25000
Начинающий специалист,Чистый Родник,Водитель-курьер,26.04.2019 12:05,Не указано,высшее,М,22,11.0,другие,False,True,True,True,True,False,False,True,True,True,False,True,20000
Системный администратор,ООО Бриго,Технический специалист,11.04.2019 14:37,Не указано,среднее специальное,М,22,16.0,Москва,True,True,True,True,False,False,False,True,True,True,False,False,40000
Сервисный инженер,Первый БИТ,Сервисный инженер,07.05.2019 12:40,Имеется собственный автомобиль,среднее специальное,М,24,6.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,50000
Монтажник слаботочных систем,Максидом,Продавец-консультант,18.04.2019 20:16,Не указано,среднее специальное,М,25,18.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,40000
Web-разработчик,WayToStart,Frontend-разработчик,10.04.2019 15:38,Не указано,высшее,М,23,18.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,70000
"Сервисный инженер,техник, монтажник",НВБС,Сервис-Инженер,14.04.2019 19:36,Имеется собственный автомобиль,высшее,М,28,23.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
ИТ-специалист,Web-control,Программист-разработчик,13.04.2019 13:27,Не указано,неоконченное высшее,М,22,12.0,Москва,False,False,False,True,False,False,False,True,False,False,False,False,70000
"Верстальщик (HTML, CSS, JS)",freelance,HTML-верстальщик,07.05.2019 13:32,Имеется собственный автомобиль,высшее,М,23,13.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Frontend developer,Woxapp,Frontend developer,26.04.2019 12:46,Не указано,высшее,М,25,16.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,51743
IT-специалист,Decathlon,Менеджер торгового сектора,07.05.2019 12:33,Не указано,высшее,Ж,24,17.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,23000
Веб-разработчик,Key Group,Fullstack javascript разработчик,22.02.2019 11:10,Не указано,неоконченное высшее,Ж,19,17.0,Москва,False,True,True,True,True,False,False,True,True,False,False,False,100000
Консультант,"ООО ""М-Дистрибьюшн""",Торговый представитель,26.04.2019 08:42,Не указано,высшее,М,28,11.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,45000
"ИТ-менеджер, менеджер ИТ-проектов",Неофициальное трудоустройство,Переводчик с английского языка,02.12.2018 19:45,Не указано,неоконченное высшее,М,22,12.0,Москва,False,False,True,True,False,True,False,True,False,False,False,True,20000
Системный администратор,Centrakt,Системный администратор,15.04.2019 09:36,Не указано,высшее,М,23,20.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,55000
HTML-верстальщик,Freelance,HTML-верстальщик,26.04.2019 15:02,Не указано,неоконченное высшее,М,36,26.0,Санкт-Петербург,False,True,True,False,False,False,False,False,False,False,False,True,40000
Специалист по обработке данных,"ООО ""АйТи Решения""",Специалист отдела программирования и разработки,07.05.2019 08:44,Не указано,среднее специальное,М,21,8.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,35000
Системный администратор,ТОО БАТЫР-Павлодар,Системный администратор,06.04.2019 04:40,Имеется собственный автомобиль,среднее специальное,М,23,16.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
Сервисный инженер,"Вайлдберриз, ООО",Менеджер по работе с клиентами,22.04.2019 14:29,Не указано,неоконченное высшее,М,21,17.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
Тестировщик ПО,"ООО ""Форца! Груп-Р""",Тестомейкер,21.04.2019 15:33,Не указано,высшее,М,22,9.0,город-миллионник,False,False,True,True,False,True,False,True,True,True,False,False,25000
Программист Python - Junior,"ТранзитСити, Группа компаний","Менеджер интернет-магазина, контент менеджер",12.05.2019 21:30,Имеется собственный автомобиль,неоконченное высшее,М,28,12.0,город-миллионник,True,True,True,False,False,True,False,True,True,True,True,True,25000
UA-manager,Zorka Mobi,Junior UA-manager,26.04.2019 15:11,Не указано,высшее,М,24,18.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,33695
Аналитик,"ООО ""Ставки на Спорт""",Старший менеджер,10.04.2019 16:32,Не указано,неоконченное высшее,М,23,22.0,Москва,False,False,True,False,False,False,False,True,True,True,False,True,35000
Администратор,кафе Roll's,Администратор,13.05.2019 18:23,Не указано,высшее,Ж,22,9.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,10000
Менеджер по проектам,"Зарубежнефть, ОАО",Администратор по IT проектам,21.04.2019 11:35,Не указано,высшее,Ж,21,13.0,Москва,False,True,True,True,True,False,False,True,True,True,False,False,80000
Специалист бэк-офиса,Сбербанк,Главный специалист по работе с корпоративными клиентами,13.04.2019 20:34,Не указано,неоконченное высшее,М,22,13.0,другие,False,False,True,False,False,False,False,True,True,True,False,True,35000
Специалист технической поддержки,МФЦ,Ведущий специалист отдела операционной деятельности,20.04.2019 10:17,Не указано,среднее специальное,Ж,22,14.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,20000
Технический специалист,ОпенСервис,Технический специалист,07.05.2019 06:58,Не указано,среднее специальное,М,24,19.0,Санкт-Петербург,True,True,True,True,False,False,False,True,True,True,False,False,40000
Тестировщик,"Яндекс.Деньги, НКО, ООО",Специалист отдела мониторинга,17.04.2019 10:43,Не указано,неоконченное высшее,М,22,15.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,50000
Специалист технической поддержки,Билайн,Специалист офиса продаж,14.04.2019 08:41,Не указано,высшее,Ж,24,7.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Оператор,Агенство  Чейз,Аудитор-тайный покупатель,25.04.2019 10:23,Не указано,высшее,Ж,28,25.0,другие,False,True,False,True,True,False,False,True,False,False,False,True,15000
Оформитель технической документации,Tранснефть,Оформитель технической документации,07.05.2019 14:51,Не указано,высшее,М,28,10.0,другие,False,False,False,True,False,False,False,False,True,False,False,False,10000
Офис менеджер,Строй инвест,Офис-менеджер,22.04.2019 18:28,Не указано,неоконченное высшее,М,23,15.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,25000
Руководитель проекта,"ООО ""Транскард систем""",Ведущий оператор,17.04.2019 13:30,Не указано,неоконченное высшее,М,21,17.0,другие,False,False,True,False,True,False,False,True,True,True,False,False,27000
Специалист технической поддержки,БАНК УРАЛСИБ,Менеджер по прямым продажам,11.04.2019 10:02,Не указано,среднее специальное,М,25,16.0,Москва,False,True,True,True,True,True,False,True,True,True,False,False,35000
Специалист контактного центра / Оператор call-центра,Контакт-центр City Call,Оператор call-центра,10.04.2019 14:32,Не указано,среднее специальное,М,21,15.0,другие,False,False,True,False,False,False,False,False,True,True,False,False,20000
"Инженер-программист, оператор ЧПУ","ООО ""СИДЖАР""",Инженер-программист,11.04.2019 17:32,Не указано,среднее специальное,М,23,12.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,35000
IT-инженер,Rendez-vous,IT-инженер,22.04.2019 13:51,Не указано,среднее специальное,М,22,5.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,50000
Java-разработчик,"Информационно-технологическая сервисная компания, ООО",Специалист поддержки бизнес-аналитики,07.05.2019 07:24,Не указано,высшее,М,27,22.0,город-миллионник,True,False,True,False,True,False,False,False,True,False,False,False,40000
Инженер,Данроуз,ведущий инженер,21.04.2019 12:10,Не указано,среднее специальное,М,25,10.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
Системный администратор,Санаторий Автотранспортник России,Администратор бизнес центра,22.04.2019 18:01,Не указано,неоконченное высшее,М,26,6.0,другие,False,False,True,True,False,False,False,True,True,True,False,False,25000
контент-менеджер; редактор сайта; администратор,"ООО ""Компания ""ПроАрт""",Менеджер по работе с клиентами,17.04.2019 15:34,Не указано,среднее специальное,Ж,29,21.0,город-миллионник,False,True,False,True,True,False,False,True,False,False,False,True,20000
"Frontend-разработчик, React",Агентство Регионального Развития,Frontend-разработчик,25.04.2019 18:19,Не указано,высшее,Ж,24,11.0,другие,True,True,True,True,False,True,False,True,True,False,False,True,45000
Менеджер по продажам клиентам среднего и малого бизнеса,Мобильные ТелеСистемы (МТС),Эксперт клиентского сервиса,06.04.2019 14:17,Не указано,неоконченное высшее,М,19,8.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,24000
Технический специалист,Inventive Retail Group,Продавец-консультант,09.04.2019 15:18,Не указано,высшее,М,20,6.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,50000
Специалист по IT,ООО МЕТРО Кэш энд Керри,Младший специалист по информационным технологиям,19.04.2019 13:23,Не указано,высшее,М,22,6.0,другие,True,True,True,True,True,True,False,True,True,True,False,True,30000
Инженер по обслуживанию банковского оборудования (POS-терминалы),ООО БГК ТЭЦ-3,машинист обходчик,16.04.2019 12:18,Имеется собственный автомобиль,среднее специальное,М,22,4.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Начинающий специалист IT,МЭИ. Инженерно-экономический институт,Студент,26.04.2019 21:18,Не указано,среднее специальное,М,24,9.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,30000
"Менеджер по продажам работе с клиентами, документацией",ООО СпецТехник,Руководитель проекта,08.04.2019 12:23,Не указано,среднее специальное,М,28,17.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
Тестировщик на проникновение / Тестировщик вэб приложений / Аналитик информационной безопасности,"ООО ""ГНСС плюс""",Технический специалист,19.04.2019 18:33,Имеется собственный автомобиль,высшее,М,22,3.0,Москва,False,False,True,False,False,False,False,True,True,False,False,False,100000
Менеджер проектов,Экспримо,Проектный менеджер,17.04.2019 10:42,Не указано,неоконченное высшее,М,23,22.0,Москва,False,False,True,False,True,True,False,True,True,True,False,True,50000
Инженер-электронщик,ТОО Назар Текстиль,Электромонтажник,22.04.2019 15:13,Не указано,высшее,М,23,20.0,другие,True,True,True,False,False,False,False,True,True,True,True,True,25302
Специалист,Администрация Гатчинского района,Специалист отдела экономики,22.04.2019 18:26,Имеется собственный автомобиль,высшее,М,22,8.0,Санкт-Петербург,False,True,True,False,False,False,False,True,True,True,False,False,45000
Junior developer C++ / Младший разработчик С++,Вооружённые силы РФ,Оператор контроля и управления сетью связи,14.04.2019 19:14,Не указано,среднее специальное,М,22,15.0,Санкт-Петербург,False,True,True,True,False,True,False,True,True,False,False,False,25000
Web-программист,"ООО ""ВестМедГрупп""",Системный администратор,18.04.2019 15:35,Не указано,неоконченное высшее,М,21,9.0,Москва,False,False,False,True,False,False,False,False,True,False,False,False,40000
Помощник аналитика,Театр-студия «КОНТАКТ»,Актриса,17.04.2019 13:28,Не указано,высшее,Ж,24,9.0,Москва,False,False,False,True,False,False,False,True,False,False,False,True,15000
Помощник системного администратора,ГК СЛОН,Монтажник,17.04.2019 14:09,Имеется собственный автомобиль,среднее специальное,М,22,9.0,другие,True,True,True,False,False,False,False,True,True,True,False,False,25000
Начинающий специалист,"Ростелеком, теле 2","Специалист связи, продавец консультант",07.05.2019 11:19,Не указано,среднее специальное,М,21,8.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
SEO-оптимизатор,ПРодвижение СПб,SEO-оптимизатор,16.04.2019 08:42,Не указано,среднее специальное,М,21,12.0,Санкт-Петербург,False,False,True,True,True,False,False,True,True,True,False,False,25000
Специалист по IT,"ООО ""Мониторинг автомобильных дорог и дорожные технологии""",Оператор,18.01.2019 23:11,Не указано,высшее,М,22,7.0,Москва,True,True,True,True,True,False,False,True,True,True,False,False,50000
Главный Продавец,Эльдорадо Воронеж,Главный Продавец,18.04.2019 22:44,Не указано,среднее специальное,М,20,5.0,город-миллионник,True,False,True,False,False,False,False,False,True,False,False,False,23000
Программист,Балашихинский литейно - механического завод,Диспетчер,07.05.2019 16:44,Не указано,высшее,М,31,28.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
RPA разработчик,EY Russia,Консультант RPA,22.04.2019 15:20,Не указано,высшее,М,24,23.0,Москва,True,True,True,True,True,False,False,True,True,True,True,True,140000
Модератор контента,Елочный базар,"Куратор точки, продавец",13.04.2019 22:24,Не указано,неоконченное высшее,М,18,5.0,Санкт-Петербург,False,False,False,True,False,False,False,True,False,False,False,True,6000
Инженер/ IT специалист,Энерномер,Оператор автоматических и полуавтоматических линий,25.04.2019 15:48,Не указано,высшее,М,25,23.0,другие,False,True,True,False,False,True,False,True,True,True,False,False,22000
Специалист по защите информации,Хамовнический районный суд,практикант,22.04.2019 14:21,Не указано,высшее,Ж,25,3.0,Москва,False,False,True,False,False,True,False,True,True,True,False,True,45000
Разработчик Python (стажёр/джуниор),Zoetis Inc.,Специалист по информационной поддержке клиентов,10.04.2019 21:49,Не указано,высшее,М,22,2.0,Москва,False,False,True,True,True,True,False,True,True,False,False,False,40000
Программист php,РА Сокол,Графический дизайнер,08.05.2019 00:44,Не указано,среднее специальное,М,38,13.0,другие,False,False,True,True,True,False,False,True,True,False,False,True,30000
"Data Miner, Lead-Generator, Freelance",BSL-contact,Специалист по работе с клиентами,22.04.2019 09:39,Имеется собственный автомобиль,неоконченное высшее,М,19,6.0,другие,False,False,False,True,True,False,False,True,False,False,False,True,19188
Помощник менеджера проекта,ГрузовичкоФ,Специалист по логистике,13.04.2019 11:35,Не указано,высшее,М,24,22.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,True,False,False,450000
"Оператор видеонаблюдения, охранник без лицензии, сторож, оператор",Континент,Оператор видеонаблюдения,15.04.2019 08:21,Не указано,среднее специальное,М,22,5.0,город-миллионник,False,True,True,True,False,True,False,True,True,True,False,False,15000
junior-программист (младший программист),-,"Администратор, программист",15.07.2018 22:26,Не указано,неоконченное высшее,М,21,13.0,Москва,False,True,True,True,True,True,False,True,False,True,False,True,30000
Аналитик,Региональный центр Спортивной Подготовки по Адаптивным Видам Спорта,Аналитик,21.04.2019 11:48,Не указано,высшее,Ж,23,18.0,город-миллионник,False,True,True,False,False,False,False,True,True,False,False,True,30000
Консультант SAP MM SD FI,TMS RUS,General customer service specialist,22.04.2019 18:00,Не указано,высшее,М,27,23.0,Москва,True,True,True,True,False,False,False,True,True,True,False,False,80000
Программист-разработчик,"Мечел, ГК",Инженер-конструктор 1 категории,22.04.2019 10:07,Не указано,высшее,М,25,11.0,город-миллионник,False,True,True,False,True,False,False,False,True,False,False,False,30000
"Html Верстальшик, Frontend-разработчик",Индивидуальное предпринимательство / частная практика / фриланс,Frontend-разработчик,22.04.2019 18:02,Не указано,высшее,М,31,28.0,другие,True,True,True,True,True,False,False,True,True,True,False,True,30000
Интернет-маркетолог,Сбербанк,Консультант по банковским продуктам,22.04.2019 10:47,Не указано,высшее,М,23,16.0,Санкт-Петербург,False,False,True,False,False,False,False,True,True,True,False,False,50000
Менеджер проектов,Евросеть (Россия),Стажер в учебном центре,13.04.2019 01:10,Не указано,высшее,М,23,15.0,другие,False,False,True,False,False,True,False,True,True,False,False,True,25000
Project manager,КНИТУ-КАИ им.А.Н.Туполева,"Преподаватель дисциплины ""Проектирование и архитектура программных систем""",22.04.2019 17:35,Не указано,высшее,Ж,22,7.0,город-миллионник,False,False,True,True,True,True,False,True,True,False,False,True,25000
Технический специалист,Мобильные ТелеСистемы (МТС),специалист,22.04.2019 12:34,Не указано,среднее специальное,М,21,5.0,город-миллионник,False,False,True,True,True,True,False,True,True,True,True,False,20000
Инженер-технолог строительных материалов,"ЭР-Телеком Холдинг, ЗАО",Менеджер по продажам и сервисному обслуживанию,13.04.2019 12:18,Не указано,высшее,М,23,17.0,город-миллионник,True,False,True,True,False,True,False,True,True,True,False,True,30000
Продажи,"ООО ""Юником""",Рабочий по комплексному обслуживанию зданий,15.04.2019 14:10,Не указано,среднее специальное,М,21,5.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,40000
No matter,"Студио Модерна, ООО",Специалист по продажам,06.04.2019 20:39,Не указано,среднее специальное,М,21,15.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,1000
Android(Java/Kotlin) разработчик,Megacom,Android developer,19.04.2019 15:24,Не указано,неоконченное высшее,М,20,17.0,другие,True,True,True,True,True,False,False,True,True,False,False,True,45000
Android-разработчик,Ключевые Решения,Специалист технической поддержки,14.04.2019 08:30,Не указано,высшее,М,21,15.0,другие,False,False,True,True,False,True,False,True,True,True,False,True,20000
Помощник системного администратора,Перекресток,Продавец-консультант,07.05.2019 08:00,Не указано,неоконченное высшее,М,24,9.0,Москва,False,False,True,True,False,False,False,False,True,True,False,False,30000
Аналитик,НИЧ БГУИР,Инженер-конструктор,26.04.2019 11:44,Не указано,неоконченное высшее,М,21,12.0,другие,False,True,True,True,False,True,False,True,False,True,False,True,21442
HTML-верстальщик,Федеральная торговая площадка BLIZKO.ru Екатеринбург,Контент-менеджер,10.04.2019 17:34,Не указано,высшее,Ж,27,16.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,30000
Инженер-электронщик,Философия ИТ,Аналитик,22.04.2019 10:32,Не указано,высшее,М,23,4.0,Санкт-Петербург,False,False,True,True,True,True,False,False,True,True,True,True,30000
junior fullstack developer,"ООО ""ГОТЕХ""",junior web-developer,07.05.2019 13:55,Не указано,неоконченное высшее,М,23,10.0,город-миллионник,True,True,True,False,False,True,False,True,True,False,False,True,35000
ИТ-специалист,М.Видео,Сервисный инженер,19.04.2019 21:45,Не указано,среднее специальное,М,21,6.0,другие,False,False,True,False,False,False,False,False,True,True,False,False,40000
Региональный менеджер по продажам,Данстокер,Менеджер по продажам,22.04.2019 10:13,Не указано,высшее,Ж,29,21.0,другие,True,False,True,True,False,False,False,True,True,False,False,False,190000
Электромонтер связи,МГТС,Электромонтер линейных сооружений телефонной связи и радиофикации 6 разряда,19.04.2019 20:07,Не указано,неоконченное высшее,М,32,15.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,50000
Менеджер,"АО ""Связной Логистика""",Специалист группы операционной поддержки; специалист по сервисному обслуживанию группы клиентской поддержки,17.04.2019 21:31,Не указано,высшее,Ж,24,20.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
Сборщик ПК,"Завод Трехсосенский, ООО",Мерчендайзер магазинов,09.04.2019 09:36,Не указано,высшее,М,26,19.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Специалист по информационным технологиям,Леруа Мерлен,Специалист по информационным технологиям,12.05.2019 07:42,Имеется собственный автомобиль,высшее,М,24,18.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,80000
2D-художник,"ООО ""Шизополис """,2D художник,09.04.2019 20:13,Не указано,высшее,Ж,23,13.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,50000
Java-разработчик,Mail.Ru Group Одноклассники,Мобильный разработчик,25.04.2019 22:39,Не указано,неоконченное высшее,М,21,9.0,Санкт-Петербург,False,False,True,False,False,False,False,True,True,False,False,True,70000
Программист-разработчик,CLOUD MONEY,Веб-разработчик,22.04.2019 06:31,Не указано,среднее специальное,М,23,4.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,25302
Frontend-разработчик (junior) / Младший фронтэнд разработчик,Индивидуальное предпринимательство / частная практика / фриланс,Frontend-разработчик,11.04.2019 18:49,Не указано,высшее,Ж,23,13.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,20000
Инженер-программист,"ООО ""Альфа-ТЕЛ""",Инженер-программист,12.05.2019 12:54,Не указано,высшее,М,23,17.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,75000
Python/Django developer,Образовательный центр Парка высоких технологий,Программист-стажер,22.04.2019 11:00,Не указано,неоконченное высшее,М,20,4.0,другие,True,True,True,True,True,True,False,True,True,True,False,False,12212
Бизнес-аналитик,Lamoda,Младший специалист по ассортиментному планированию,21.04.2019 12:28,Не указано,высшее,Ж,23,15.0,Москва,True,True,True,False,True,True,False,True,True,True,False,True,80000
Стажер/Специалист (Data Scientist),ABBYY,Программист-стажер,22.04.2019 17:18,Не указано,высшее,Ж,21,9.0,Москва,True,True,True,True,False,True,False,True,True,False,False,False,120000
Менеджер по сопровождению клиентов,SkyEng,Менеджер по работе с клиентами,14.04.2019 16:32,Не указано,высшее,М,24,18.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,45000
Junior Backend разработчик,РОСБАНК,Практикант в дополнительном офисе банка,17.11.2018 10:25,Не указано,неоконченное высшее,М,22,2.0,Москва,False,True,True,True,False,False,False,True,True,False,False,True,50000
Junior JavaScript программист,Индивидуальное предпринимательство / частная практика / фриланс,JavaScript программист,07.04.2019 17:56,Имеется собственный автомобиль,неоконченное высшее,М,21,17.0,город-миллионник,True,True,True,True,True,True,False,True,True,True,True,True,20000
front-end,U2C,HTML-верстальщик,13.05.2019 13:11,Не указано,неоконченное высшее,М,23,18.0,Москва,True,True,True,True,True,False,False,True,True,True,False,True,80000
Программист,ООО «Elavis»,Программист-монтажник,16.04.2019 12:54,Не указано,среднее специальное,М,21,7.0,Москва,True,False,True,False,False,False,False,True,True,True,True,True,30000
Программист-разработчик,"ООО НПО ""ОМИКС""",Инженер-программист,07.05.2019 06:12,Не указано,высшее,М,23,12.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,50000
Junior Developer,Connective Games,C++ Junior Developer,21.04.2019 11:26,Не указано,высшее,М,23,22.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,40000
Системный администратор,Первый БИТ,Программист 1С,15.04.2019 21:39,Имеется собственный автомобиль,высшее,М,23,19.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,40000
Инженер-проектировщик,"ЭР-Телеком Холдинг, ЗАО",Специалист по организации предоставления услуг пользователям,17.04.2019 12:33,Не указано,высшее,М,22,12.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,40000
Техник-программист,"ТоргМонтаж, ООО",Инженер-монтажник,07.05.2019 11:15,Не указано,среднее специальное,М,23,14.0,город-миллионник,False,False,True,False,False,False,False,True,True,False,False,True,20000
Инженер-программист,НТЦ ЭЛИНС,Инженер-программист микроконтроллеров,13.05.2019 12:28,Не указано,высшее,М,23,17.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,45000
Frontend-разработчик,МегаФон,Специалист по обслуживание корпоративных клиентов,11.04.2019 09:50,Не указано,неоконченное высшее,М,22,10.0,город-миллионник,True,True,True,True,False,False,False,True,True,True,True,True,20000
Начинающий специалист,Диапазон торг,Менеджер по работе с клиентами,22.04.2019 08:34,Не указано,высшее,М,23,4.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,18318
Специалист по ИБ,Рунц Безопасность,Инженер,26.04.2019 14:51,Имеется собственный автомобиль,неоконченное высшее,М,24,15.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
"монтажник лвс, волс, скуд",NVision Group,Монтажник связи,12.04.2019 12:27,Не указано,среднее специальное,М,21,5.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,True,45000
Техник (ИТ специалист),ООО командор мебель,Помощник системного администратора,07.05.2019 17:48,Не указано,среднее специальное,М,21,3.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
Гейм-дизайнер,WGA (Wargaming Academy),Гейм-дизайнер,22.04.2019 12:28,Не указано,высшее,М,26,21.0,Санкт-Петербург,True,True,True,False,False,False,False,False,True,False,False,False,30000
Специалист по ИБ,"АУК ВО ""Дирекци Международного Платоновского фестиваля""",Специалист отдела сопровождения и технического обеспечения,16.04.2019 18:32,Не указано,высшее,М,23,4.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,25000
Специалист,ИП Березина И.Ю.,Управляющий директор,20.04.2019 14:33,Не указано,высшее,М,20,18.0,другие,False,False,True,True,True,False,False,True,True,True,False,False,20000
Специалист по работе с клиентами (испаноязычные рынки),https://mediacube.network/ru,Комьюнити-менеджер,22.04.2019 16:37,Не указано,высшее,Ж,26,20.0,другие,False,True,True,True,False,False,False,True,True,False,False,False,36637
Оператор,Розница К-1,Кассир,21.04.2019 18:27,Не указано,среднее специальное,Ж,22,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
"менеджер офисных продаж, продавец-консультант",Точка и линия на плоскости,Бариста,11.04.2019 01:18,Не указано,высшее,Ж,24,19.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,15000
Junior Data Engineer,ООО «Хартия»,Инженер службы аналитики ИТ,22.04.2019 09:16,Не указано,высшее,М,22,8.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Спортивный аналитик,"ПАН, Первое Агентство Недвижимости, ООО",Экономист-аналитик,19.04.2019 14:09,Не указано,высшее,М,23,22.0,Санкт-Петербург,True,True,True,False,False,False,False,False,True,False,False,False,60000
Начинающий специалист,Индивидуальное предпринимательство / частная практика / фриланс,Стажёр,26.04.2019 19:24,Не указано,высшее,М,23,4.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,25000
Технический специалист,"Такском, ООО",Специалист службы технической поддержки,25.04.2019 21:58,Не указано,среднее специальное,М,21,18.0,Москва,False,True,True,False,False,False,False,False,True,True,False,False,100000
Machine Learning Engineer,Диджитал Клаудс,Веб-разработчик,22.04.2019 08:33,Не указано,высшее,М,23,21.0,другие,False,False,True,False,False,False,False,True,True,False,False,False,50000
IOS разработчик,СПбИАЦ,IOS разработчик,26.04.2019 14:20,Не указано,высшее,М,20,4.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,70000
Консультант,Администрация городского поселения Зеленоборск,Программист,26.04.2019 10:05,Не указано,среднее специальное,М,23,17.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Помощник системного администратора,Троицкий технопарк ФИАН (Физический институт им. П. Н. Лебедева РАН),Наладчик технологического оборудования,08.11.2018 16:09,Не указано,неоконченное высшее,М,24,6.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,30000
Менеджер интернет-магазина,Российское Авторское Общество,Специалист службы регистрации прав,22.04.2019 15:23,Не указано,высшее,Ж,27,17.0,Москва,False,True,True,False,True,False,False,False,True,False,False,False,45000
Мастер по ремонту сотовых телефонов,AppleCare,Мастер по ремонту техники Apple,16.04.2019 12:38,Не указано,среднее специальное,М,21,20.0,Москва,False,False,True,False,False,False,False,True,True,True,True,True,60000
